ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านฟากท่า,ต.แม่สำ อ.ศรีสัชนาลัย จ.สุโขทัย,00:00 น.,15,17.571231980332037,99.73600029945374
บ้านทาป่าเปา,ต.ทาปลาดุก อ.แม่ทา จ.ลำพูน,19:00 น.,0.5,18.477950420775766,99.18999910354614
บ้านคลองราง,ต.พระรักษ์ อ.พะโต๊ะ จ.ชุมพร,00:00 น.,19,9.897284048711033,98.86386930942535
แหลมฉบัง,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี,16:00 น.,9.8,13.076944017910591,100.87583184242249
ชุมชนห้วยไร่,ต.ห้วยไร่ อ.เด่นชัย จ.แพร่,00:00 น.,0.8,17.885787422701668,100.04156291484833
อบต.ธาตุ,ต.ธาตุ อ.รัตนบุรี จ.สุรินทร์,00:00 น.,1,15.316679581667195,103.9355081319809
องค์การบริหารส่วนตำบลตาชี,ต.ตาชี อ.ยะหา จ.ยะลา,00:00 น.,9.2,6.5551228649961155,101.10632479190826
บ้านดอนชัย,ต.แม่ทา อ.แม่ออน จ.เชียงใหม่,19:00 น.,0.5,18.582565522709242,99.26299810409546
บ้านดงสุระ,ต.แม่จั๊วะ อ.เด่นชัย จ.แพร่,16:00 น.,2.5,17.999055100858843,100.09699881076813
บ้านเขาอ่าง,ต.มาบไพ อ.ขลุง จ.จันทบุรี,00:00 น.,16,12.606108271514946,102.24199891090393
รร.บ้านลำปลอกเหนือ,ต.ในควน อ.ย่านตาขาว จ.ตรัง,00:00 น.,14.8,7.354901490150456,99.81480896472931
รร.กองม่องทะ สาขาไล่โว่,ต.ไล่โว่ อ.สังขละบุรี จ.กาญจนบุรี,00:00 น.,11.2,15.309311852149005,98.5098123550415
มูศ๊อลลา(มัสยิด)ชูฮาดา,ต.ควนกาหลง อ.ควนกาหลง จ.สตูล,00:00 น.,18.2,6.964240053044196,100.02702534198761
สะพานหาดกวน-อุ่มไผ่พัฒนา,ต.ไชยบุรี อ.ท่าอุเทน จ.นครพนม,20:00 น.,0.2,17.610938815768744,104.39593076705933
ท้ายเขื่อนรัชชประภา,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี,23:00 น.,8,8.961749980069568,98.81437182426453
บ้านฮากไม้เหนือ,ต.ป่าแป๋ อ.แม่สะเรียง จ.แม่ฮ่องสอน,19:00 น.,9,18.30261488322082,98.07900130748749
อบต.ระเว,ต.ระเว อ.พิบูลมังสาหาร จ.อุบลราชธานี,00:00 น.,18.8,15.310062088455698,105.279101729393
บ้านทับยาง,ต.คูหา อ.สะบ้าย้อย จ.สงขลา,00:00 น.,4,6.5898423567679805,100.81366896629333
อบต.กังแอน,ต.กังแอน อ.ปราสาท จ.สุรินทร์,00:00 น.,4.2,14.645354623831032,103.43628466129303
บางตะบูน,ต.บางตะบูนออก อ.บ้านแหลม จ.เพชรบุรี,00:00 น.,2,13.265557221884588,99.94175255298615
ทต.ศรีนคร,ต.ศรีนคร อ.ศรีนคร จ.สุโขทัย,00:00 น.,2.4,17.355046921071686,99.99219417572021
อบต.ป่าแฝก,ต.ป่าแฝก อ.พรเจริญ จ.บึงกาฬ,14:00 น.,8.4,18.063062010414964,103.7363862991333
บ้านโรงกลวง,ต.นบปริง อ.เมืองพังงา จ.พังงา,17:00 น.,66.5,8.54707174492376,98.52799773216248
หน่วยจัดการต้นน้ำซองกาเลีย,ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี,00:00 น.,35.6,15.215738820170666,98.38668286800385
คลองผันน้ำยม-น่าน4,ต.งิ้วงาม อ.เมืองพิษณุโลก จ.พิษณุโลก,14:00 น.,0.2,16.671771920915404,100.2458131313324
ทต.ทับคล้อ,ต.ทับคล้อ อ.ทับคล้อ จ.พิจิตร,14:00 น.,8.2,16.16959789538825,100.56600987911224
มะนัง,ต.นิคมพัฒนา อ.มะนัง จ.สตูล,00:00 น.,13.4,6.940724973105533,99.87255156040192
ทต.โป่งน้ำร้อน,ต.โป่งน้ำร้อน อ.โป่งน้ำร้อน จ.จันทบุรี,00:00 น.,25,12.90512875078496,102.26643919944763
สะพานบ้านตรังพัฒนา,ต.พะโต๊ะ อ.พะโต๊ะ จ.ชุมพร,00:00 น.,8.2,9.855115665990002,98.84008884429932
ทต.เจ๊ะบิลัง,ต.เจ๊ะบิลัง อ.เมืองสตูล จ.สตูล,00:00 น.,5,6.657254634590552,99.97033953666687
หน่วยจัดการต้นน้ำแม่สา,ต.โป่งแยง อ.แม่ริม จ.เชียงใหม่,00:00 น.,1.2,18.899912165672923,98.84984135627747
แม่น้ำมูล บ้านคันไร่,ต.ทรายมูล อ.พิบูลมังสาหาร จ.อุบลราชธานี,23:00 น.,53,15.269949086224457,105.30611157417297
บ้านควนขวาง,ต.เขาวิเศษ อ.วังวิเศษ จ.ตรัง,00:00 น.,11,7.691035258048772,99.43600058555603
บ้านโคกสะอาด,ต.นายางกลัก อ.เทพสถิต จ.ชัยภูมิ,16:00 น.,8,15.675844347915595,101.47299885749817
บ้านทุ่งโป่งใต้,ต.บ้านปง อ.หางดง จ.เชียงใหม่,17:00 น.,8,18.764181956396158,98.87299954891205
บ้านปางปง-ปางทราย,ต.เวียงตาล อ.ห้างฉัตร จ.ลำปาง,19:00 น.,8,18.42769536667659,99.26699995994568
บ้านหนองบอน,ต.หนองบอน อ.บ่อไร่ จ.ตราด,00:00 น.,2,12.68149831063873,102.46607601642609
บ้านบูเก็ตยามู,ต.ควนสตอ อ.ควนโดน จ.สตูล,00:00 น.,29.5,6.799780411829003,100.11300086975098
บ้านกอบแก้ววัฒนาภิบาล,ต.ลำพูน อ.บ้านนาสาร จ.สุราษฎร์ธานี,00:00 น.,1,8.826411372844971,99.40797686576843
