,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,SUM,year,month,day
74,75,456,Don Muang Airport,Central,13.91916667,100.605,0.0,5.25,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,51.5,4.37,0.75,2.12,1.15,0.45,0.0,0.0,0.0,0.0,0.1,67.34000000149011,2020,06,02
75,76,455,Sirikit Center,Central,13.72638889,100.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,1.85,2.12,0.65,0.85,0.25,0.0,0.0,0.0,0.0,11.47,2020,06,02
76,77,454,Bangkok Port,Central,13.70694444,100.5680556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,2.12,3.87,0.65,0.85,0.35,0.0,0.0,0.0,0.0,13.59,2020,06,02
77,78,453,Bang Na (1),Central,13.66638889,100.6061111,1.55,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,6.75,1.85,1.15,0.85,0.45,0.0,0.0,0.0,0.0,18.42,2020,06,02
78,79,457,Bangkok Pilot,Central,13.37722222,100.5994444,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.04,0.95,0.45,0.45,0.0,0.0,0.0,0.0,3.640000000000001,2020,06,02
79,80,430,Prachin Buri,Eastern,14.05091667,101.3693056,0.0,10.5,0.75,1.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1,0.55,1.35,0.1,0.0,0.0,14.85,2020,06,02
80,81,439,Kabin Buri (2),Eastern,13.98333361,101.7072222,0.0,0.0,0.0,0.85,3.62,3.62,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,2.37,3.12,5.25,0.45,0.0,0.0,24.69,2020,06,02
81,82,440,Sa Kaeo (2),Eastern,13.78888889,102.0347222,0.0,0.0,0.0,0.0,1.65,3.62,3.62,6.25,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,2020,06,02
82,83,462,Aranyaprathet,Eastern,13.70000028,102.5833336,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,2020,06,02
83,84,458,Chachoengsao (1),Eastern,13.51555556,101.4583333,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,4.12,0.0,0.0,0.0,0.0,3.37,0.25,0.65,0.0,0.0,0.0,0.0,10.47,2020,06,02
84,85,459,Chon Buri,Eastern,13.36666694,100.9833336,1.25,0.35,0.45,0.75,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,32.5,0.65,0.1,0.1,0.0,0.1,0.0,0.0,38.35,2020,06,02
85,86,463,Laem Chabang,Eastern,13.07694444,100.8758333,0.0,0.1,0.1,1.15,1.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.45,1.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.32,2020,06,02
86,87,460,Ko Sichang,Eastern,13.16166667,100.8019444,0.0,0.25,0.25,0.95,1.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2020,06,02
87,88,461,Pattaya,Eastern,12.92,100.8694444,0.0,0.0,0.0,1.55,1.55,0.1,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,2020,06,02
88,89,477,Sattahip,Eastern,12.68333361,100.9833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
89,90,478,Rayong,Eastern,12.61702778,101.34075,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,6.25,4.87,4.87,2.37,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.33,2020,06,02
90,91,479,Huai Pong (1),Eastern,12.73333361,101.1333336,0.0,0.0,0.0,0.0,0.0,0.0,2.37,4.62,7.75,3.12,0.65,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.61,2020,06,02
91,92,480,Chanthaburi,Eastern,12.61666694,102.1133333,0.0,0.35,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,1.75,1.45,0.0,0.0,4.35,2020,06,02
92,93,481,Pluei (1),Eastern,12.50861111,102.1730556,0.0,0.85,0.0,0.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7.449999999999999,2020,06,02
93,94,501,Khlong Yai,Eastern,11.76666694,102.8833336,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2020,06,02
94,95,465,Phetchaburi,Southern EastCoast,12.99930556,100.0605278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
95,96,474,Nong Plub (1),Southern EastCoast,12.58925,99.73461111,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2020,06,02
96,97,475,Hua Hin,Southern EastCoast,12.57797222,99.95372222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,2020,06,02
97,98,500,Prachuap Khiri Khan,Southern EastCoast,11.83497222,99.81047222,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.45,0.65,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85,2020,06,02
98,99,517,Chumphon,Southern EastCoast,10.49875,99.18847222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.95,0.65,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1500000000000004,2020,06,02
