,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,08Z,09Z,11Z,12Z,13Z,14Z,15Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,SUM,year,month,day
95,96,474,Nong Plub (1),Southern EastCoast,12.58925,99.73461111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
96,97,475,Hua Hin,Southern EastCoast,12.57797222,99.95372222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
97,98,500,Prachuap Khiri Khan,Southern EastCoast,11.83497222,99.81047222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
98,99,517,Chumphon,Southern EastCoast,10.49875,99.18847222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
99,100,520,Sawee (1),Southern EastCoast,10.33063889,99.09186111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
100,101,551,Surat Thani,Southern EastCoast,9.1335,99.15213889,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.25,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,2020,05,29
101,102,555,Surat Thani (1),Southern EastCoast,9.144805556,99.63361111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,2020,05,29
102,103,550,Ko Samui,Southern EastCoast,9.466666667,100.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2020,05,29
103,104,556,Prasang (2),Southern EastCoast,8.572083333,99.25519444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,2020,05,29
104,105,557,Chawang (2),Southern EastCoast,8.424694444,99.50661111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.15,0.45,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1899999999999995,2020,05,29
